time,latitude,longitude,sea_surface_temperature,wind_speed,catch_rate
2023-01-01,13.561810178271044,80.46304746923143,24.72,3.69,Low
2023-01-02,14.426071459614874,79.62620994749257,30.32,4.79,Medium
2023-01-03,14.097990912717108,79.74244307114192,27.54,3.77,Medium
2023-01-04,13.897987726295554,80.84783128279062,29.79,2.89,High
2023-01-05,13.234027960663655,80.40964358948939,26.24,3.21,Medium
2023-01-06,13.233991780504304,79.51379557742494,30.27,6.61,Medium
2023-01-07,13.087125418252299,79.65220731429905,26.72,4.06,Medium
2023-01-08,14.299264218662403,80.49525265366208,24.08,5.64,Low
2023-01-09,13.901672517614813,79.50759237576933,30.34,7.03,Medium
2023-01-10,14.062108866694068,79.74121207712625,24.64,8.9,Low
2023-01-11,13.030876741443704,80.32310068404988,26.24,2.39,Medium
2023-01-12,14.454864778242992,80.53784279653904,30.65,9.99,Medium
2023-01-13,14.248663961200632,80.4779418892539,30.65,8.28,Medium
2023-01-14,13.318508666017415,79.83640396419084,28.01,2.82,High
2023-01-15,13.27273745081065,80.5682688320213,28.42,10.74,Low
2023-01-16,13.275106764780151,79.8558736312452,27.14,11.21,Low
2023-01-17,13.456363364439307,79.9880995472389,26.05,2.61,Medium
2023-01-18,13.787134647448356,80.61973710767704,26.3,4.77,Medium
2023-01-19,13.647917527963173,80.47444934857083,28.71,10.06,Low
2023-01-20,13.436843710297063,80.77383511574126,29.27,9.48,Medium
2023-01-21,13.91777934208357,80.48641933845052,29.54,3.85,High
2023-01-22,13.209240790978063,80.35246290500321,29.53,4.09,Medium
2023-01-23,13.438216972802827,79.64051215174214,24.64,5.7,Low
2023-01-24,13.549542764940538,80.05157370458915,27.46,6.85,Medium
2023-01-25,13.684104976325553,79.89780355152259,24.4,8.18,Low
2023-01-26,14.17776394208952,79.86598446506862,27.85,5.69,Medium
2023-01-27,13.29951067323754,80.95951583212867,27.09,6.63,Medium
2023-01-28,13.771351657620418,80.08964658700015,30.21,9.47,Medium
2023-01-29,13.888621853293063,80.83806983276567,26.46,2.37,Medium
2023-01-30,13.069675619079996,80.4467079389959,24.82,4.52,Low
2023-01-31,13.911317277852158,80.69221695531247,25.0,9.13,Low
2023-02-01,13.255786185530937,80.25395563965779,29.33,10.95,Low
2023-02-02,13.09757738947792,80.36535582693953,28.33,7.12,Medium
2023-02-03,14.42332830588,80.2387765407283,24.71,7.32,Low
2023-02-04,14.448448049611839,79.79286448169707,24.59,3.07,Low
2023-02-05,14.212596022174692,80.58367817289226,28.91,6.47,Medium
2023-02-06,13.456920653760056,79.92115854366128,24.51,7.33,Low
2023-02-07,13.146508171009575,79.53647394964717,29.75,4.42,Medium
2023-02-08,14.026349539768235,80.46820844386075,28.94,4.69,Medium
2023-02-09,13.660228740609401,79.76566601911057,24.57,5.77,Low
2023-02-10,13.183057352267168,80.91068787652937,24.59,2.2,Low
2023-02-11,13.742765365166905,80.93089286550388,30.91,5.22,Medium
2023-02-12,13.051582781672828,80.87229658533067,26.62,4.11,Medium
2023-02-13,14.363980603118174,80.05523805038317,26.59,5.27,Medium
2023-02-14,13.388169972400025,79.5231849247933,29.69,3.2,High
2023-02-15,13.993783426530973,80.8924778438816,30.63,10.91,Low
2023-02-16,13.467566614134116,80.14227622247597,30.9,7.94,Medium
2023-02-17,13.780102031766717,80.9499822285655,29.27,8.79,Medium
2023-02-18,13.82006541901492,80.94542996563388,26.63,9.89,Medium
2023-02-19,13.27728168328829,80.77951418320104,24.58,6.98,Low
2023-02-20,14.454376941646839,79.94167333810438,29.44,2.87,High
2023-02-21,14.162699235041671,80.0776465929029,27.91,7.37,Medium
2023-02-22,14.409248412346283,80.77670500727528,26.97,7.87,Medium
2023-02-23,14.342241025641473,79.97538300773442,30.34,9.45,Medium
2023-02-24,13.896849968216628,79.75423912002914,24.78,6.32,Low
2023-02-25,14.382811352534675,80.33520189368753,27.45,3.28,Medium
2023-02-26,13.132738753077879,80.90423216124117,24.08,4.84,Low
2023-02-27,13.293974293628718,80.54404469501246,27.28,5.63,Medium
2023-02-28,13.067840933365806,80.35509175513404,24.39,8.46,Low
2023-03-01,13.487995496144897,79.64576474065615,24.83,7.71,Low
2023-03-02,13.583015934534224,80.42251084004876,24.82,5.56,Low
2023-03-03,13.407023547660843,80.98508077515639,28.54,11.87,Low
2023-03-04,14.243106263727894,79.71012602285478,29.22,8.06,Medium
2023-03-05,13.535129990040383,80.2774944785456,28.08,4.37,Medium
2023-03-06,13.42140176453107,80.81605960789193,30.74,3.02,High
